一生补处,one hindered by one birth 
一剎那,an instant 
一相庄严三摩地,meditative stabilization of single arrangement 
一乘,single vehicle 
一时,once
一间,one interruption 
一踰缮那,a length of 500 armspans 
一由旬,a length of 500 armspans 
无惭,shamelessness 
无愧,non-embarrassment 
见、修、行、果,"view, meditation, conduct, and result"
皈依戒,the refuge vows
教法,"the dharma of transmission,"
证法,the dharma of realization
行菩提心,practical bodhicitta
愿菩提心,aspirational bodhicitta
基道果,"ground, path, and result"
法界,dharmadhatu
法身,dharmakaya
报身,sambhogakaya
化身,nirmanakaya
因乘,causal vehicle
果乘,resultant vehicle
因皈依,causal refuge
果皈依,resultant refuge
共同乘,the common vehicle
法性,dharmata
一生所系,one hindered by one birth
一踰缮那(一由旬),a length of 500 armspans
二大不善地法,2 bases of big unvirtuous mental factors
二事(二利),2 purposes
自事(自利),purpose of self
他事(利他),others' purpose 
二涅盘,2 nirvanas
有余涅盘,nirvana with remainder
无余涅盘,nirvana without remainder
二智,2 kinds of knowledge
尽所有智,knowledge of all conventional phenomena
如所有智,knowledge of all ultimate phenomena 
二无我,2 selflessnesses
补特伽罗无我(人无我),selflessness of persons 
法无我,selflessness of phenomena 
二量,2 types of valid cognition
现量,direct valid cognition
比量,inferential valid cognition
二业,2 kinds of karma
定业,whose fruits willdefinitely be experienced
不定业,karma whose fruits will notdefinitely be experienced
有漏业,contaminated action
无漏业,uncontaminated action
思业,actions of intention
思已业,intended actions
二资粮,2 types of meritorious collections
福德资粮,accumulation of merits
智慧资粮,accumulation of wisdom
二种成就,2 actual attainments
最上成就(出世成就),supreme attainments
共同成就(世间成就),common attainments
二种我执,2 kinds of grasping at self
补特伽罗我执,2 kinds of grasping at the self of a person
俱生人我执,innate grasping at the self of a person
分别人我执,intellectual grasping at the self of a person
法我执,2 types of grasping at the self of a phenomenon
俱生法我执,innate grasping at the self of a phenomenon
分别法我执,intellectual grasping at the self of a phenomenon
二种定,2 types of meditative absorptions
二种等至,2 types of meditative absorptions
灭尽定,absorption of cessation
无想定,absorption of lacking discrimination
二种所知,2 objects of knowledge
总,generalities
别,particularities
共相,generally characterized phenomena
自相,self characterized phenomena
常,permanent
无常,impermanent
二种发心,2 kinds of bodhicitta
世俗发心,conventional bodhicitta
胜义发心,ultimate bodhicitta
二种等引智,2 wisdoms of meditative equipoise
根本智,2 wisdoms of meditative equipoise
无间道,uninterrupted path
解脱道,path of release
二种菩提心,2 kinds of bodhicitta
二种识,2 types of consciousness
因位识,causal consciousness
果位识,resultant consciousness
二障,2 obstructions
烦恼障,afflictive obstructions
所知障,obstructions to knowledge of objects
二谛,2 truths
胜义谛,ultimate truth
世俗谛,conventional truth
二边,2 extremes
常边,extreme of eternalism
断边,extreme of nihilism
有边,extreme of existence
无边,extreme of non-existence
三三摩地,3 meditative stabilizations
空三摩地,emptiness meditative stabilization
无相三摩地,signless meditative stabilization
无愿三摩地,desireless meditative stabilization
有寻有伺三摩地,meditative stabilization with signs and effort
无寻唯伺三摩地,meditation stabilization with signs but without effort
无寻无伺三摩地,meditation stabilization with neither signs nor effort
三士,3 types of person
下士,beginner
中士,intermediate
上士,advanced
三支,3-membered proof
因明,3-membered proof
宗,thesis
因,sign
喻,example
三世,3 periods; 3 times
三时,3 periods; 3 times
过去世,past
现在世,present
未来世,future
三有,3 states of birth
死有,death state
中有,intermediate state
生有,birth state
欲有,places of desire
色有,places of form
无色有,places of formless
三行,3 types of karma formation
福行,meritorious actions
非福行,non-meritorious actions
不动行,unfluctuating actions
三色处,3-fold compilation of form
有见有对色,form seen and touched by sense-organs
无见有对色,"form which cannot be seen,but can be touched by sense-organs"
无见无对色,form which can neither be seen nor touched by sense-organs
三忍,3 types of patience
耐他怨害忍,patience of not retaliating against someone who harms you
安受众苦忍,patience of willingly enduring sufferings
法思胜解忍,patience of discriminative awareness of the dharma
三灾,3 destructions
